status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Approved,1,-1.706886332,0.192136329,-1.283673563,25000,350000,325000,,7/25/2019 15:15,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.245618512,-1.182335511,60000,120000,60000,,9/6/2019 9:19,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-1.350182501,-0.067616941,275000,366000,91000,,6/28/2019 15:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.706886332,-0.958067544,-0.371631097,150000,500000,350000,,9/30/2019 10:29,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,3,-1.706886332,-2.029848426,0.03372111,0,1,1,,10/30/2019 20:18,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.453139293,0.4535463,-0.675645252,0,1,1,,10/18/2019 8:51,pending,H,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-1.245618512,0.540411369,210000,410000,200000,,8/1/2019 15:30,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-1.245618512,-0.675645252,0,114000,114000,,7/9/2019 4:56,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-0.278401619,-0.371631097,100000,200000,100000,,10/2/2019 12:47,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-1.637733469,0.03372111,0,500000,500000,,7/25/2019 10:20,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,0.139854335,0.540411369,94000,235000,141000,,8/11/2019 11:09,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.453139293,-1.768438455,0.03372111,0,1,1,,10/29/2019 15:16,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.453139293,-0.069273642,-0.878321356,0,1,1,,10/28/2019 9:50,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,3,-1.453139293,-0.382965608,-0.878321356,0,1,1,,10/28/2019 9:02,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-0.53981159,-0.371631097,0,300000,300000,,10/11/2019 16:00,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.453139293,-0.72279857,-0.574307201,25000,100000,75000,,9/17/2019 10:57,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-1.271759509,-1.182335511,0,143000,143000,,9/10/2019 16:24,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.90578555,0.439073318,175000,400000,225000,,8/12/2019 13:07,pending,H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.453139293,-0.72279857,0.135059162,159000,212000,53000,,9/25/2019 9:46,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
